"MULTIPOLYGON(((120.0066935 30.2817525,120.0067215 30.2817598,120.006708 30.2817988,120.0067287 30.2818042,120.0067692 30.2816877,120.0069014 30.281722,120.0069092 30.2816996,120.0069421 30.2816051,120.0071215 30.2816517,120.00714 30.2815984,120.0070856 30.281584,120.0070823 30.2815936,120.0069599 30.2815619,120.0069793 30.2815061,120.0068034 30.2814604,120.0068215 30.2814082,120.0067686 30.2813942,120.0067353 30.2814899,120.0067518 30.2814942,120.0069132 30.281536,120.0068679 30.2816662,120.0068552 30.2816629,120.0068667 30.2816297,120.0068014 30.2816128,120.0067898 30.2816461,120.0067606 30.2816386,120.0067354 30.281632,120.0067094 30.2817067,120.0066935 30.2817525)))","9.80"
"MULTIPOLYGON(((120.0088988 30.2884336,120.0090114 30.2884644,120.0091372 30.2881221,120.009714 30.2882802,120.0097678 30.288134,120.0091694 30.2879699,120.009049 30.2880252,120.0088988 30.2884336)))","22.08"
"MULTIPOLYGON(((120.0065375 30.2880677,120.0071415 30.2882387,120.0071611 30.2881838,120.0072907 30.2882155,120.0073298 30.2881352,120.0073004 30.2881099,120.0073151 30.2880677,120.0071831 30.2880275,120.0071586 30.2880909,120.0070437 30.2880529,120.0070363 30.2880698,120.0065937 30.2879283,120.0065375 30.2880677)))","24.71"
"MULTIPOLYGON(((120.0144247 30.2744917,120.0149125 30.2745995,120.0149491 30.2744759,120.0144613 30.2743682,120.0144247 30.2744917)))","27.63"
"MULTIPOLYGON(((120.0136016 30.2745733,120.014188 30.2747401,120.0142411 30.274601,120.0136546 30.2744342,120.0136016 30.2745733)))","22.13"
"MULTIPOLYGON(((120.0128288 30.27402,120.0134153 30.2741868,120.0134684 30.2740477,120.0128819 30.2738808,120.0128288 30.27402)))","27.67"
"MULTIPOLYGON(((120.0127114 30.274624,120.0132979 30.2747908,120.013351 30.2746517,120.0127645 30.2744848,120.0127114 30.274624)))","24.87"
"MULTIPOLYGON(((120.0132315 30.2736066,120.0137157 30.2736559,120.0137277 30.2735676,120.0132436 30.2735183,120.0132315 30.2736066)))","14.52"
"MULTIPOLYGON(((120.0143587 30.273333,120.0147087 30.2733764,120.0147263 30.2732706,120.0143763 30.2732272,120.0143587 30.273333)))","16.06"
"MULTIPOLYGON(((120.0009963 30.2762721,120.0013379 30.2763246,120.0013663 30.2761869,120.0010247 30.2761344,120.0009963 30.2762721)))","76.35"
"MULTIPOLYGON(((120.0063053 30.2749431,120.0064332 30.2750247,120.0066673 30.2747513,120.0065393 30.2746696,120.0063053 30.2749431)))","11.96"
"MULTIPOLYGON(((120.0067808 30.2943308,120.0068982 30.2943936,120.007033 30.2942056,120.0069156 30.2941428,120.0067808 30.2943308)))","20.26"
"MULTIPOLYGON(((120.0138255 30.2887109,120.013965 30.2887552,120.0139014 30.2889043,120.0142482 30.2890144,120.0143501 30.2887751,120.0140202 30.2886703,120.0142926 30.2880308,120.0141364 30.2879812,120.0138255 30.2887109)))","7.97"
"MULTIPOLYGON(((120.0093568 30.2862565,120.0094242 30.2862759,120.0095054 30.2860647,120.0094379 30.2860454,120.0093568 30.2862565)))","8.18"
"MULTIPOLYGON(((120.0082493 30.2856877,120.0085123 30.2857621,120.0085359 30.2856997,120.008273 30.2856253,120.0082493 30.2856877)))","5.76"
"MULTIPOLYGON(((120.0072257 30.2870079,120.0075124 30.2870864,120.0075312 30.2870354,120.0072444 30.286957,120.0072257 30.2870079)))","5.56"
"MULTIPOLYGON(((120.0066703 30.2853382,120.0069571 30.2854166,120.0069758 30.2853656,120.006689 30.2852872,120.0066703 30.2853382)))","8.25"
"MULTIPOLYGON(((120.0064714 30.2850774,120.0066583 30.2851291,120.0066777 30.2850768,120.0064908 30.2850251,120.0064714 30.2850774)))","8.23"
"MULTIPOLYGON(((120.0068506 30.285108,120.0070375 30.2851597,120.0070569 30.2851073,120.00687 30.2850556,120.0068506 30.285108)))","8.82"
"MULTIPOLYGON(((120.0069888 30.2863452,120.0072152 30.2864106,120.0072346 30.2863605,120.0070082 30.2862952,120.0069888 30.2863452)))","9.80"
"MULTIPOLYGON(((120.0068146 30.2860591,120.007041 30.2861245,120.0070604 30.2860745,120.006834 30.2860091,120.0068146 30.2860591)))","9.32"
